coding_interest,writing_interest,design_interest,law_interest,medical_interest,math_comfort,empathy,public_speaking,problem_solving,creativity,biology_interest,portfolio_preference,work_environment,subject_preference,top1,top2,top3
1,0,0,0,0,5,7,4,9,10,3,6,0,Commerce,Software Engineer,Lawyer,Software Engineer
1,0,0,0,0,3,4,3,9,5,5,9,0,Arts,Software Engineer,Neurologist,UI/UX Designer
1,0,0,0,0,7,6,8,8,9,3,3,1,Commerce,Software Engineer,Surgeon,Author
1,0,0,0,0,4,9,5,7,8,2,1,0,Arts,Software Engineer,Animator,Copywriter
1,0,0,0,0,7,7,7,5,10,6,2,1,Commerce,Software Engineer,Cardiologist,Doctor
1,0,0,0,0,10,10,4,10,5,9,4,0,Arts,Software Engineer,Animator,Cloud Engineer
1,0,0,0,0,8,9,10,9,8,5,2,0,Commerce,Software Engineer,Content Writer,Surgeon
1,0,0,0,0,5,9,5,5,9,7,1,1,Arts,Software Engineer,Software Engineer,Lawyer
1,0,0,0,0,10,4,8,7,6,3,7,1,Science,Software Engineer,Entrepreneur,Psychiatrist
1,0,0,0,0,6,10,8,8,5,1,10,0,Science,Software Engineer,Editor,AI Engineer
1,0,0,0,0,4,10,8,10,9,9,2,0,Science,Software Engineer,Cardiologist,Data Scientist
1,0,0,0,0,8,5,3,4,8,6,3,1,Science,Software Engineer,Cloud Engineer,Graphic Designer
1,0,0,0,0,5,8,8,7,4,9,9,1,Arts,Software Engineer,Public Prosecutor,Author
1,0,0,0,0,6,8,9,8,7,6,5,1,Science,Software Engineer,Physiotherapist,Public Prosecutor
1,0,0,0,0,9,10,10,7,4,2,6,0,Science,Software Engineer,Graphic Designer,Content Writer
1,0,0,0,0,7,10,7,3,10,6,10,0,Science,Software Engineer,Author,Data Scientist
1,0,0,0,0,8,9,9,9,6,8,6,0,Arts,Software Engineer,Physiotherapist,Animator
1,0,0,0,0,10,9,3,3,4,7,2,1,Commerce,Software Engineer,Cloud Engineer,Radiologist
1,0,0,0,0,8,10,4,6,10,7,10,1,Science,Software Engineer,Physiotherapist,Judge
1,0,0,0,0,10,3,5,7,9,5,8,0,Commerce,Software Engineer,AI Engineer,Animator
1,0,0,0,0,5,8,5,4,7,7,5,1,Arts,Software Engineer,Cardiologist,Doctor
1,0,0,0,0,5,4,3,6,10,1,5,1,Commerce,Software Engineer,Graphic Designer,Legal Advisor
